,Time,Open,High,Low,Close,Volume,QuoteAssetVolume,NumberOfTrades,ID_Coin,Pt-1,Pt+1buyHigh,Pt+5c,Pt+10c,Time_human
570,1657955040000,4.29700000,4.35,4.28500000,4.335,10759.28,46480.34347000,273,BONDUSDT,4.29,4.344,4.66,4.738,2022-07-16 07:04:00
571,1657972860000,4.15800000,4.25,4.14700000,4.237,12728.75,53526.13413000,290,BONDUSDT,4.169,4.245,4.533,4.772,2022-07-16 12:01:00
572,1657974720000,4.77700000,4.85,4.74300000,4.85,13564.68,65295.79266000,318,BONDUSDT,4.777,5.12,5.527,5.755,2022-07-16 12:32:00
573,1657980180000,4.83200000,4.936,4.82700000,4.936,20148.93,98834.51300000,385,BONDUSDT,4.84,4.985,5.105,5.896,2022-07-16 14:03:00
574,1657984980000,6.53200000,6.628,6.52000000,6.623,13239.45,87126.64306000,444,BONDUSDT,6.543,6.636,7.325,8.176,2022-07-16 15:23:00
575,1657985580000,7.99700000,8.2,7.78300000,8.176,65508.82,525037.59138000,2364,BONDUSDT,7.997,8.3,8.824,8.93,2022-07-16 15:33:00
576,1657989780000,8.50800000,8.7,8.49700000,8.615,17621.26,151804.09238000,678,BONDUSDT,8.508,8.626,9.058,9.171,2022-07-16 16:43:00
577,1658023860000,5.73000000,5.918,5.73000000,5.91,11882.74,69472.94905000,302,BONDUSDT,5.728,5.929,6.408,7.079,2022-07-17 02:11:00
578,1658069700000,7.59800000,7.736,7.58900000,7.682,23593.07,180408.60247000,394,BONDUSDT,7.597,7.744,7.955,8.313,2022-07-17 14:55:00
579,1658300100000,8.62600000,8.73,8.60000000,8.71,10450.37,90747.09048000,366,BONDUSDT,8.601,8.826,9.015,9.368,2022-07-20 06:55:00
580,1658304000000,9.30000000,9.7,9.29900000,9.581,34435.72,327398.64117000,964,BONDUSDT,9.302,10.185,10.545,11.192,2022-07-20 08:00:00
581,1658309100000,10.97100000,11.268,10.92200000,11.212,15823.45,176330.93903000,554,BONDUSDT,10.984,11.267,11.998,12.334,2022-07-20 09:25:00
